deduction_code,employee_payroll_number,deduction_month,deduction_year,amount
017,0363,11,2023,31
017,0372,11,2023,1736
017,0376,11,2023,62
017,0379,11,2023,62
017,0397,11,2023,155
017,0452,11,2023,31
017,0458,11,2023,465
017,0483,11,2023,31
017,0502,11,2023,124
017,0509,11,2023,155
017,0528,11,2023,310
017,0540,11,2023,155
017,0554,11,2023,403
017,0556,11,2023,775
017,0583,11,2023,31
017,0588,11,2023,930
017,0589,11,2023,713
017,0606,11,2023,217
017,0639,11,2023,62
017,0652,11,2023,248
017,0654,11,2023,93
017,0667,11,2023,310
017,0668,11,2023,527
017,0691,11,2023,403
017,0692,11,2023,155
017,0728,11,2023,279
017,0732,11,2023,930
017,0740,11,2023,124
017,0745,11,2023,341
017,0760,11,2023,186
010,0414,11,2023,2000
010,0451,11,2023,2000
010,0501,11,2023,1500
010,704,11,2023,1000
010,0747,11,2023,2000
010,0762,11,2023,2000
